classical_mean,quantum_mean,mean_diff,ci_low,ci_high,cohens_d,nb_t_stat,nb_p_raw,wilcoxon_p_raw,modal_reps,modal_entanglement,arch_agreement_rate,classical_balanced_mean,quantum_balanced_mean,balanced_mean_diff,dataset,encoding,seed,nb_p_holm,significant
0.9573333333333334,0.944,-0.01333333333333333,-0.05995118654641661,0.03328451987974995,-0.31788776569561056,-0.5903027615319382,0.5605054343584563,0.13838811629253114,1,none,0.68,0.9517703349282297,0.9397129186602872,-0.012057416267942545,breast_cancer,z,42,1.0,False
0.9626666666666667,0.9493333333333333,-0.01333333333333333,-0.04541794035238221,0.018751273685715553,-0.46188021535170065,-0.857690027870236,0.39954799834165655,0.04594940546937648,1,none,0.96,0.959043062200957,0.9477511961722489,-0.01129186602870813,breast_cancer,z,7,1.0,False
0.9533333333333333,0.9386666666666666,-0.014666666666666663,-0.05026628564690007,0.020932952313566747,-0.45790292666973376,-0.8503043882019798,0.40355939533971164,0.03182312738649016,1,none,0.88,0.947846889952153,0.9377990430622009,-0.010047846889952194,breast_cancer,z,123,1.0,False
0.9560000000000001,0.9466666666666665,-0.00933333333333333,-0.034460586094183204,0.015793919427516546,-0.41283747723371195,-0.766619949470751,0.450783029633699,0.05220363534131467,1,none,0.88,0.9530143540669858,0.9448803827751197,-0.008133971291866104,breast_cancer,z,2024,1.0,False
0.9586666666666668,0.944,-0.014666666666666663,-0.04862182310092296,0.019288489767589637,-0.4800793585191832,-0.8914849883204186,0.38151995858376875,0.031286096732900344,1,none,0.84,0.954354066985646,0.9427751196172249,-0.011578947368421022,breast_cancer,z,99,1.0,False
0.9573333333333334,0.8213333333333334,-0.136,-0.19919934643142434,-0.07280065356857567,-2.3917383575830407,-4.441346631424094,0.0001719432473052951,1.669202484771456e-05,1,linear,0.6,0.9517703349282297,0.7954066985645933,-0.15636363636363637,breast_cancer,zz,42,0.006361900150295918,True
0.9626666666666667,0.8573333333333332,-0.10533333333333329,-0.14901241437552637,-0.061654252291140216,-2.6802770177887076,-4.977149472264541,4.4047258473067785e-05,1.0500466010540103e-05,1,full,0.6,0.959043062200957,0.8368421052631579,-0.12220095693779909,breast_cancer,zz,7,0.001849984855868847,True
0.9533333333333333,0.8560000000000001,-0.09733333333333331,-0.15869616363990596,-0.03597050302676066,-1.7629644756505538,-3.273742845000585,0.0032110055229228607,2.1389061700935093e-05,1,linear,0.64,0.947846889952153,0.8373205741626795,-0.11052631578947358,breast_cancer,zz,123,0.08027513807307152,False
0.9560000000000001,0.8386666666666666,-0.1173333333333333,-0.17888228123535538,-0.05578438543131123,-2.1187910143095374,-3.9344961392870834,0.0006216579723403726,1.6017982446744433e-05,1,linear,0.52,0.9530143540669858,0.8113875598086124,-0.14162679425837332,breast_cancer,zz,2024,0.020273117224396175,True
0.9586666666666668,0.8533333333333333,-0.10533333333333332,-0.1683151254309235,-0.04235154123574314,-1.8588235294117648,-3.4517486390557877,0.002075556813747159,2.1263870177817677e-05,1,linear,0.56,0.954354066985646,0.835980861244019,-0.11837320574162691,breast_cancer,zz,99,0.0560400339711733,False
