dataset,encoding,source,reported_classical,reported_quantum,reported_verdict,our_classical,our_quantum,our_stability,our_verdict,note
iris_hard,zz,"Naresh & Reddi (2025), Quantum Information Processing",1.0,0.85,reported classical win,0.968,0.824,1/5,seed-sensitive -- inconclusive,"original task was standard 3-class Iris, not the binarized hard pair used here -- illustrative only"
iris_hard,zz,"Date et al. (2025), Quantum Machine Intelligence",0.856,0.679,reported classical win,0.968,0.824,1/5,seed-sensitive -- inconclusive,"exact class-pair match (versicolor vs virginica) -- but their QSVM is D-Wave adiabatic/annealing-based, not gate-based fidelity kernel like ours; algorithmic caveat, not just a task caveat"
iris_hard,zz,"Ranga et al. (2025), Physica Scripta",0.99,0.99,reported as a tie,0.968,0.824,1/5,seed-sensitive -- inconclusive,"original task was standard 3-class Iris with all 4 features, not the binarized hard pair -- illustrative only"
wine,zz,"Naresh & Reddi (2025), Quantum Information Processing",0.97,0.97,reported as a tie,0.969,0.744,5/5,stable significant difference,"original task used all 3 Wine classes and 12 features; here restricted to 2 classes, 4 PCA components"
breast_cancer,zz,"Naresh & Reddi (2025), Quantum Information Processing",0.94,0.92,reported classical win,0.958,0.845,3/5,seed-sensitive -- inconclusive,close match in task definition (binary Breast Cancer Wisconsin)
breast_cancer,z,"Yadav, Sheoran & Sheoran (2026), PeerJ Computer Science",0.9737,0.947,reported classical win,0.958,0.945,0/5,stable no difference,"original used top-7 mutual-information features, not 4 PCA components -- illustrative only"
